ALACAK SENETLERİ;;319892;
AlacakSenetleri;311827;0;250000
ALICILAR;296537;4191641;3001686
ALINAN ÇEKLER;440126;319892;0
ALINAN DEPOZİTO VE TEMİNATLAR;;95;0
ALINAN SİPARİŞ AVANSLARI;102271;112429;1278183
AT-TOPLAM DÖNEN VARLIKLAR;4823793;3716057;11459945
BANKA KREDİLERİ;212589;265180;2924
BANKALAR;768126;285015;1909065
BİRİKMİŞ AMORTİSMANLAR (-);10522;17993;1557
BORÇ SENETLERİ;50000;1490499;
BT- TOPLAM DURAN VARLIKLAR;74137;66803;510105
BTT- TOPLAM AKTİFLER;4897930;3649253;11970050
CT- Kısa Vadeli Yabancı Kaynaklar Toplamı;4256773;5229813;9037294
DEMİRBAŞLAR;0;2202;6500
DEVREDEN KATMA DEĞER VERGİSİ;;25922;0
Devreden KDV;98558;0;0
DİĞER ÇEŞİTLİ ALACAKLAR;;0;0
DİĞER ÇEŞİTLİ BORÇLAR;129;51;1204
DİĞER HAZIR DEĞERLER;0;0;0
Diğer Mali Borçlar;4294;199565;36125
DİĞER STOKLAR;0;0;
Diğer Ticari Borçlar;13161;886264;138567
DÖN.KAR.PEŞ.ÖD.VER.VE YÜK (-);;1285041;0
DÖN.KARI VER.VE DİĞ.YÜK.KARŞ.;;1285041;0
Dönem Karı Peşin Ödenen Vergi ve Diğer Yük. (-);534636;0;2092169
Dönem Karı Vergi ve Diğer Yasal Yükümlülük Karşılığı;704941;0;2978546
DT- Uzun Vadeli Yabancı Kaynaklar Toplamı;254859;290315;0
E5-Dönem Kar/Zarar;2341565;3538624;9080583
ET-TOPLAM ÖZKAYNAKLAR;2269754;3538624;9080583
Geçmiş Yıllar Karları;73992;0;
GELECEK AYLARA AİT GİDERLER;30217;30870;164381
GELECEK YILLARA AİT GİDERLER;61485;52764;61327
GİDER TAHAKKUKLARI;42270;25134;55
HAKLAR;0;1575;0
HESAPLANAN KDV;0;0;0
İNDİRİLECEK KDV;0;0;0
İŞ AVANSLARI;28407;135952;97253
KASA;25631;14384;79
NTT- TOPLAM PASİFLER;4897930;3649253;11970050
ORTAKLARA BORÇLAR;;331924;23811
ORTAKLARDAN ALACAKLAR;563069;86644;1282956
ÖDENECEK DİĞER YÜKÜMLÜLÜKLER;;0;0
ÖDENECEK SOS. GÜV. KESİNTİLERİ;;7857;0
Ödenecek Sosyal Güvenlik Kesintileri;183;0;77103
ÖDENECEK VERGİ VE FONLAR;124079;459441;38504
Özel Fonlar;;;0
ÖZEL MALİYETLER;0;0;0
Personel Avansları;826;0;0
PERSONEL MAAŞ AVANSLARI;;830;0
PERSONELDEN ALACAKLAR;75000;0;0
Personele Borçlar;2323;18564;48950
PEŞİN ÖDENEN VERGİ VE FONLAR;413404;860068;2092077
PROJ.YIL.YAY.INS.VE ON.MALIYET;;1876794;0
Satıcılar;453834;0;3552430
Sermaye;0;0;0
ŞÜPHELİ TİC.AL. KARŞIĞI (-);;;0
Şüpheli Ticari Alacak Karşılığı (-);0;0;
Şüpheli Ticari Alacaklar;0;0;0
TAŞITLAR;0;0;0
TESİS MAKİNE VE CİHAZLAR;;;0
